code_type,ip,path,filename
java,10.1.10.90,/apps/tomcat-custom-instance,h5-user
java,10.1.10.90,/apps/tomcat-custom-instance,justitia
java,10.1.10.49,/apps/tomcat-custom-instance,maxim-cms
java,10.1.10.49,/apps/tomcat-custom-instance,maxim-config
java,10.1.10.49,/apps/tomcat-custom-instance,maxim-user
java,10.1.10.65,/apps/tomcat-custom-instance,bc-account
java,10.1.10.65,/apps/tomcat-custom-instance,bc-config
java,10.1.10.65,/apps/tomcat-custom-instance,bc-notice
java,10.1.10.65,/apps/tomcat-custom-instance,bc-query
java,10.1.10.65,/apps/tomcat-custom-instance,metis
java,10.1.10.73,/apps/tomcat-custom-instance,forseti
java,10.1.10.73,/apps/tomcat-custom-instance,logo_images
java,10.1.10.73,/apps/tomcat-custom-instance,prizeNumber
java,10.1.10.73,/apps/tomcat-custom-instance,tethys-owner
java,10.1.10.72,/apps/tomcat-custom-instance,tethys-owner
java,10.1.10.64,/apps/tomcat-custom-instance,dubbo-admin
java,10.1.10.64,/apps/tomcat-custom-instance,dubbo-monitor-simple-2.5.3
java,10.1.10.64,/apps/tomcat-custom-instance,magic-cms
java,10.1.10.64,/apps/tomcat-custom-instance,magic-config
java,10.1.10.64,/apps/tomcat-custom-instance,magic-passport
java,10.1.10.64,/apps/tomcat-custom-instance,magic-photo
java,10.1.10.64,/apps/tomcat-custom-instance,magic-user
java,10.1.10.64,/apps/tomcat-custom-instance,magic-uuid
java,10.1.10.48,/apps/tomcat-custom-instance,bc-account
java,10.1.10.48,/apps/tomcat-custom-instance,bc-config
java,10.1.10.48,/apps/tomcat-custom-instance,bc-notice
java,10.1.10.48,/apps/tomcat-custom-instance,bc-query
java,10.1.10.48,/apps/tomcat-custom-instance,metis
java,10.1.10.91,/apps/tomcat-custom-instance,autorepairlotto
java,10.1.10.91,/apps/tomcat-custom-instance,forseti
java,10.1.10.91,/apps/tomcat-custom-instance,uaa
java,10.1.10.68,/apps/tomcat-custom-instance,bc-account
java,10.1.10.68,/apps/tomcat-custom-instance,bc-config
java,10.1.10.68,/apps/tomcat-custom-instance,bc-notice
java,10.1.10.68,/apps/tomcat-custom-instance,bc-query
java,10.1.10.68,/apps/tomcat-custom-instance,metis
java,10.1.10.87,/apps/tomcat-custom-instance,Ares-payment
java,10.1.10.87,/apps/tomcat-custom-instance,Ares-statistics
java,10.1.10.87,/apps/tomcat-custom-instance,justitia
java,10.1.10.44,/apps/tomcat-custom-instance,dubbo-admin
java,10.1.10.44,/apps/tomcat-custom-instance,dubbo-monitor-simple-2.5.3
java,10.1.10.44,/apps/tomcat-custom-instance,magic-cms
java,10.1.10.44,/apps/tomcat-custom-instance,magic-config
java,10.1.10.44,/apps/tomcat-custom-instance,magic-passport
java,10.1.10.44,/apps/tomcat-custom-instance,magic-photo
java,10.1.10.44,/apps/tomcat-custom-instance,magic-user
java,10.1.10.44,/apps/tomcat-custom-instance,magic-uuid
java,10.1.10.44,/apps/tomcat-custom-instance,tomcat-custom-instance
go,10.1.10.92,/apps/engine,pan
